City,Organization Name,Grant Type,Grant Sector,Grant Subsector,Payment Amount
North Vancouver,North Shore Girls Fastpitch Association,Community Gaming Grant,Sport,Sports for Youth,23500
North Vancouver,North Shore In-Line Hockey League Society,Community Gaming Grant,Sport,Sports for Youth,56000
North Vancouver,Presentation House Cultural Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,40000
North Vancouver,Seymour Art Gallery Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,35700
North Vancouver,Vancouver Asian Canadian Theatre,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,3300
North Vancouver,Vancouver Chamber Players Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,6000
North Vancouver,Vancouver Philharmonic Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,11500
Osoyoos,Osoyoos Festival Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",5000
Parksville,Mount Arrowsmith Pipe Band Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,10000
Parksville,Premier Baseball Association,Community Gaming Grant,Sport,Sports for Youth,90000
Parksville,Sandy Shores Skating Club,Community Gaming Grant,Sport,Sports for Youth,30000
Peachland,Interior Highland Dancing Association of BC,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,6000
Peachland,Peachland Community Arts Council,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,7600
Pemberton,Pemberton Canoe Association,Community Gaming Grant,Sport,Sports for Youth,13470
Pender Island,Pender Island Choral Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,10500
Pender Island,Ptarmigan Arts Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,60000
Pender Island,The Pender Island Celtic Music Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,3750
Penticton,Knights of Columbus # 8928 - St. John Vianney Council,Community Gaming Grant,Human and Social Services,Community Service Organization,2250
Penticton,Pentastic Jazz Festival Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",28000
Penticton,Penticton Academy of Music Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,15000
Penticton,Penticton Aquatic Association,Community Gaming Grant,Sport,Sports for Youth,16000
Penticton,Penticton Minor Fastpitch Softball Association,Community Gaming Grant,Sport,Sports for Youth,5500
Penticton,Penticton Peach Festival Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",11000
Penticton,The Okanagan School of the Arts,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,15000
Penticton,Thompson-Okanagan Junior Lacrosse League,Community Gaming Grant,Sport,Sports - Adult,35000
Pitt Meadows,Pitt Meadows Heritage and Museum Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",4000
Port Alberni,Alberni District Fall Fair,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",25000
Port Alberni,Community Arts Council of the Alberni Valley,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,15250
Port Alberni,Mount Arrowsmith Skating Club,Community Gaming Grant,Sport,Sports for Youth,26000
Port Alberni,The Port Alberni Maritime Heritage Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",29000
Port Coquitlam,Coquitlam Ducks Volleyball Club,Community Gaming Grant,Sport,Sports for Youth,22500
Port Coquitlam,Gallery Singers Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,6000
Port Coquitlam,Port Coquitlam Marlins Summer Swim Club,Community Gaming Grant,Sport,Sports for Youth,22000
Port Coquitlam,The Coquitlam Lions Water Polo Association,Community Gaming Grant,Sport,Sports for Youth,18000
Port Coquitlam,The Westcoast Harmony Chorus of Sweet Adelines International,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,8000
Port Coquitlam,Triumph Street Pipe Band Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,14800
Port Moody,Creative Dance Association,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,14000
Port Moody,DreamRider Productions Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,65000
Port Moody,Inlet Skating Club of Port Moody,Community Gaming Grant,Sport,Sports for Youth,61700
Port Moody,Port Moody Golden Spike Days Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",20000
Port Moody,Port Moody Heritage Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",28000
Powell River,Malaspina Art Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,5000
Powell River,Pacific Region International Summer Music Academy Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,25000
Powell River,Powell River Academy of Music,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,30000
Powell River,Powell River Historical Museum & Archives Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",27000
Powell River,Powell River Kings Hockey Club Society,Community Gaming Grant,Sport,Sports for Youth,15000
Powell River,Powell River Yacht Club,Community Gaming Grant,Sport,Sports for Youth,5250
Prince George,Community Arts Council of Prince George and District,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,20275
Prince George,Huble Homestead / Giscome Portage Heritage Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",50600
Prince George,Multicultural Heritage Society of Prince George,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",47800
Prince George,Northern Orchestra of B.C. Society,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,1900
Prince George,Prince George Agricultural and Historical Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",70000
Prince George,Prince George Barracuda Swim Club,Community Gaming Grant,Sport,Sports for Youth,62000
Prince George,Prince George Canoe and Kayak Club,Community Gaming Grant,Sport,Sports for Youth,3300
Prince George,Prince George Pisces Summer Swim Club,Community Gaming Grant,Sport,Sports for Youth,12000
Prince George,Prince George Regional Art Gallery Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",175100
Prince George,The Prince George Judo Association,Community Gaming Grant,Sport,Sports - Adult,7300
Prince Rupert,Association des Francophones et Francophiles du Nord-Ouest,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,19000
Prince Rupert,J.P.A. Jazz Productions Association of British Columbia,Community Gaming Grant,Arts and Culture,Youth Arts and Culture,17000
Prince Rupert,Northern British Columbia Museum Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",56000
Princeton,Kokanee Summer Swim Club Society,Community Gaming Grant,Sport,Sports for Youth,10000
Princeton,Princeton Traditional Music Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",6100
Qualicum,Qualicum Beach Pipe Band Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,3000
Qualicum Beach,Oceanside Volunteer Association,Community Gaming Grant,Human and Social Services,Community Education,2500
Qualicum Beach,Ravensong Aquatic Club,Community Gaming Grant,Sport,Sports for Youth,15300
Queen Charlotte City,Edge of the World Music Festival Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",10000
Quesnel,North Cariboo Gymkhana Society,Community Gaming Grant,Sport,Sports for Youth,2100
Quesnel,Quesnel Agricultural and Exhibition Association,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",5500
Quesnel,Quesnel and District Heritage Association,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,3500
Quesnel,Quesnel Live Arts Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,11500
Quesnel,Quesnel Tillicum Society,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,8300
Quesnel,Waveriders Swim Club,Community Gaming Grant,Sport,Sports for Youth,19000
Revelstoke,BC Interior Forestry Museum Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",16500
Revelstoke,Revelstoke Arts Council,Community Gaming Grant,Arts and Culture,Adult Arts and Culture,20000
Revelstoke,Revelstoke Heritage Railway Society,Community Gaming Grant,Arts and Culture,"Fairs, Festivals, Museums",2000
